Source Term ID	Source Term	Mapped Term Label	Mapped Term IRI	Mapped Term CURIE	IS_DISEASE	IS_MEASUREMENT	IS_PHENOTYPE	IS_AMOUNT	IS_PROCESS
DOID:3847	papillary craniopharyngioma	Papillary Craniopharyngioma	http://www.ebi.ac.uk/efo/EFO_1000447	EFO:1000447	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:417	autoimmune disease	autoimmune disease	http://www.ebi.ac.uk/efo/EFO_0005140	EFO:0005140	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4210	clear cell meningioma	Clear Cell Meningioma	http://www.ebi.ac.uk/efo/EFO_1000180	EFO:1000180	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4217	malignant ovarian Brenner tumor	Malignant Ovarian Brenner Tumor	http://www.ebi.ac.uk/efo/EFO_1000357	EFO:1000357	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4432	pancreatic somatostatinoma	pancreatic somatostatinoma	http://www.ebi.ac.uk/efo/EFO_1001964	EFO:1001964	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4588	secretory meningioma	Secretory Meningioma	http://www.ebi.ac.uk/efo/EFO_1000522	EFO:1000522	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4591	lymphoplasmacyte-rich meningioma	Lymphoplasmacyte-Rich Meningioma	http://www.ebi.ac.uk/efo/EFO_1000342	EFO:1000342	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4594	microcystic meningioma	Microcystic Meningioma	http://www.ebi.ac.uk/efo/EFO_1000376	EFO:1000376	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4756	testicular Leydig cell tumor	Testicular Leydig Cell Tumor	http://www.ebi.ac.uk/efo/EFO_1000569	EFO:1000569	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4769	pleuropulmonary blastoma	Pleuropulmonary blastoma	http://www.ebi.ac.uk/efo/EFO_0009052	EFO:0009052	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5058	rhabdoid meningioma	Rhabdoid Meningioma	http://www.ebi.ac.uk/efo/EFO_1000511	EFO:1000511	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5331	testicular granulosa cell tumor	Testicular Granulosa Cell Tumor	http://www.ebi.ac.uk/efo/EFO_1000567	EFO:1000567	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:535	sleep disorder	Sleep Disorder	http://www.ebi.ac.uk/efo/EFO_0008568	EFO:0008568	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5374	pilomatrixoma	Pilomatrixoma	http://www.ebi.ac.uk/efo/EFO_0009082	EFO:0009082	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5580	pancreatic gastrinoma	Pancreatic Gastrinoma	http://www.ebi.ac.uk/efo/EFO_1000440	EFO:1000440	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5675	cribriform carcinoma	Cribriform Carcinoma	http://www.ebi.ac.uk/efo/EFO_1000210	EFO:1000210	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5690	well-differentiated liposarcoma	well-differentiated liposarcoma	http://www.ebi.ac.uk/efo/EFO_0000736	EFO:0000736	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5750	endometrial serous adenocarcinoma	Endometrial Serous Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000238	EFO:1000238	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5900	meningeal melanocytoma	Meningeal Melanocytoma	http://www.ebi.ac.uk/efo/EFO_1000370	EFO:1000370	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:6548	angiomatous meningioma	Angiomatous Meningioma	http://www.ebi.ac.uk/efo/EFO_1000086	EFO:1000086	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:6610	bone epithelioid hemangioma	Bone Epithelioid Hemangioma	http://www.ebi.ac.uk/efo/EFO_1000132	EFO:1000132	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:6823	pancreatoblastoma	Pancreatoblastoma	http://www.ebi.ac.uk/efo/EFO_1000446	EFO:1000446	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:7154	anaplastic oligodendroglioma	anaplastic oligodendroglioma	http://www.ebi.ac.uk/efo/EFO_0002501	EFO:0002501	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:7210	psammomatous meningioma	Psammomatous Meningioma	http://www.ebi.ac.uk/efo/EFO_1000500	EFO:1000500	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:7211	fibrous meningioma	Fibrous Meningioma	http://www.ebi.ac.uk/efo/EFO_1000258	EFO:1000258	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:7212	meningothelial meningioma	Meningothelial Meningioma	http://www.ebi.ac.uk/efo/EFO_1000372	EFO:1000372	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:7213	transitional meningioma	Transitional Meningioma	http://www.ebi.ac.uk/efo/EFO_1000602	EFO:1000602	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:8353	epithelioid malignant peripheral nerve sheath tumor	Epithelioid Malignant Peripheral Nerve Sheath Tumor	http://www.ebi.ac.uk/efo/EFO_1000245	EFO:1000245	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:8368	chordoid meningioma	Chordoid Meningioma	http://www.ebi.ac.uk/efo/EFO_1000176	EFO:1000176	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:8411	kidney angiomyolipoma	Kidney Angiomyolipoma	http://www.ebi.ac.uk/efo/EFO_1000312	EFO:1000312	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:9600	plantar fasciitis	Plantar Fasciitis	http://www.ebi.ac.uk/efo/EFO_1001909	EFO:1001909	FALSE	FALSE	TRUE	FALSE	FALSE
00016951	peginterferon alfa-2a	peginterferon alfa-2a	http://www.ebi.ac.uk/efo/EFO_0010102	EFO:0010102	FALSE	FALSE	FALSE	FALSE	FALSE
C000608607	Alexa Fluor 555	Alexa Fluor 555	http://www.ebi.ac.uk/efo/EFO_0004968	EFO:0004968	FALSE	FALSE	FALSE	FALSE	FALSE
C001803	tempol	tempol	http://www.ebi.ac.uk/efo/EFO_0002678	EFO:0002678	FALSE	FALSE	FALSE	FALSE	FALSE
C048844	anti-IgG	anti-IgG	http://www.ebi.ac.uk/efo/EFO_0005030	EFO:0005030	FALSE	FALSE	FALSE	FALSE	FALSE
C056900	neuromedin U	neuromedin U	http://www.ebi.ac.uk/efo/EFO_0003266	EFO:0003266	FALSE	FALSE	FALSE	FALSE	FALSE
C076196	Org 31710	antiprogestin	http://www.ebi.ac.uk/efo/EFO_0002673	EFO:0002673	FALSE	FALSE	FALSE	FALSE	FALSE
C082585	iberin	iberin	http://www.ebi.ac.uk/efo/EFO_0002671	EFO:0002671	FALSE	FALSE	FALSE	FALSE	FALSE
C100416	peginterferon alfa-2a	peginterferon alfa-2a	http://www.ebi.ac.uk/efo/EFO_0010102	EFO:0010102	FALSE	FALSE	FALSE	FALSE	FALSE
C525074	chitooctaose	chitin octamer	http://www.ebi.ac.uk/efo/EFO_0003237	EFO:0003237	FALSE	FALSE	FALSE	FALSE	FALSE
C535892	Lichen planus follicularis	lichen planopilaris	http://www.ebi.ac.uk/efo/EFO_0009856	EFO:0009856	TRUE	FALSE	FALSE	FALSE	FALSE
C535932	Intrahepatic Cholestasis of Pregnancy	Intrahepatic cholestasis of pregnancy	http://www.ebi.ac.uk/efo/EFO_0009048	EFO:0009048	TRUE	FALSE	FALSE	FALSE	FALSE
C536397	Neonatal Systemic lupus erythematosus	neonatal systemic lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_0004537	EFO:0004537	TRUE	FALSE	FALSE	FALSE	FALSE
C537143	Ossification of the posterior longitudinal ligament of the spine	ossification of the posterior longitudinal ligament of the spine	http://www.ebi.ac.uk/efo/EFO_0005895	EFO:0005895	TRUE	FALSE	FALSE	FALSE	FALSE
C537150	Hypoglycemia, leucine-induced	leucine-induced hypoglycemia	http://www.ebi.ac.uk/efo/EFO_0006856	EFO:0006856	FALSE	FALSE	TRUE	FALSE	FALSE
C537296	Granulosa cell tumor of the ovary	ovarian granulosa tumour	http://www.ebi.ac.uk/efo/EFO_0006461	EFO:0006461	TRUE	FALSE	FALSE	FALSE	FALSE
C537361	Methylmalonic aciduria cblB type	methylmalonic aciduria cblb type	http://www.ebi.ac.uk/efo/EFO_0009074	EFO:0009074	TRUE	FALSE	FALSE	FALSE	FALSE
C537778	Antisynthetase syndrome	Antisynthetase syndrome	http://www.ebi.ac.uk/efo/EFO_1001982	EFO:1001982	TRUE	FALSE	FALSE	FALSE	FALSE
C538116	Heterotaxy, visceral, X-linked	heterotaxy, visceral, x-linked	http://www.ebi.ac.uk/efo/EFO_0009136	EFO:0009136	FALSE	FALSE	TRUE	FALSE	FALSE
C538246	Aminoacylase 1 deficiency	Aminoacylase 1 deficiency	http://www.ebi.ac.uk/efo/EFO_1001981	EFO:1001981	TRUE	FALSE	FALSE	FALSE	FALSE
C538253	Amyotrophy, monomelic	Monomelic amyotrophy	http://www.ebi.ac.uk/efo/EFO_1001989	EFO:1001989	TRUE	FALSE	FALSE	FALSE	FALSE
C538459	Ovarian gynandroblastoma	Ovarian Gynandroblastoma	http://www.ebi.ac.uk/efo/EFO_1000422	EFO:1000422	TRUE	FALSE	FALSE	FALSE	FALSE
C548033	Medullary Cystic Kidney Disease 2	Medullary Cystic Kidney Disease Type II	http://www.ebi.ac.uk/efo/EFO_0008618	EFO:0008618	TRUE	FALSE	FALSE	FALSE	FALSE
C562465	Phobia, Specific	specific phobia	http://www.ebi.ac.uk/efo/EFO_1001918	EFO:1001918	TRUE	FALSE	FALSE	FALSE	FALSE
C562776	Hyperproinsulinemia	hyperproinsulinemia	http://www.ebi.ac.uk/efo/EFO_0009650	EFO:0009650	TRUE	FALSE	FALSE	FALSE	FALSE
C563236	Testicular Germ Cell Tumor	Testicular Germ Cell Tumor	http://www.ebi.ac.uk/efo/EFO_1000566	EFO:1000566	TRUE	FALSE	FALSE	FALSE	FALSE
C564963	Leigh Syndrome due to Mitochondrial Complex IV Deficiency	leigh syndrome due to mitochondrial complex iv deficiency	http://www.ebi.ac.uk/efo/EFO_0009135	EFO:0009135	TRUE	FALSE	FALSE	FALSE	FALSE
C567516	Temple-Baraitser Syndrome	Temple-Baraitser syndrome	http://www.ebi.ac.uk/efo/EFO_0009062	EFO:0009062	TRUE	FALSE	FALSE	FALSE	FALSE
C569686	Alexa Fluor 647	Alexa Fluor 647	http://www.ebi.ac.uk/efo/EFO_0004967	EFO:0004967	FALSE	FALSE	FALSE	FALSE	FALSE
D000007	Abdominal Injuries	abdominal injury	http://www.ebi.ac.uk/efo/EFO_0009502	EFO:0009502	FALSE	FALSE	FALSE	FALSE	FALSE
D000066450	Mouse Embryonic Stem Cells	mouse embryonic stem cell	http://www.ebi.ac.uk/efo/EFO_0004038	EFO:0004038	FALSE	FALSE	FALSE	FALSE	FALSE
D000069078	Seroconversion	seroconversion	http://www.ebi.ac.uk/efo/EFO_0007851	EFO:0007851	FALSE	FALSE	FALSE	FALSE	TRUE
D000071576	Crush Injuries	crush injury	http://www.ebi.ac.uk/efo/EFO_0009504	EFO:0009504	FALSE	FALSE	FALSE	FALSE	FALSE
D000071698	Latent Autoimmune Diabetes in Adults	latent autoimmune diabetes in adults	http://www.ebi.ac.uk/efo/EFO_0009706	EFO:0009706	TRUE	FALSE	FALSE	FALSE	FALSE
D000072142	Pathologists	pathologist	http://www.ebi.ac.uk/efo/EFO_0009738	EFO:0009738	FALSE	FALSE	FALSE	FALSE	FALSE
D000072283	A549 Cells	A549	http://www.ebi.ac.uk/efo/EFO_0001086	EFO:0001086	FALSE	FALSE	FALSE	FALSE	FALSE
D000072657	ST Elevation Myocardial Infarction	ST Elevation Myocardial Infarction	http://www.ebi.ac.uk/efo/EFO_0008585	EFO:0008585	TRUE	FALSE	FALSE	FALSE	FALSE
D000072658	Non-ST Elevated Myocardial Infarction	Non-ST Elevation Myocardial Infarction	http://www.ebi.ac.uk/efo/EFO_0008586	EFO:0008586	TRUE	FALSE	FALSE	FALSE	FALSE
D000072660	Teratozoospermia	teratozoospermia	http://www.ebi.ac.uk/efo/EFO_0002625	EFO:0002625	FALSE	FALSE	FALSE	FALSE	FALSE
D000074361	Sleep Latency	sleep latency	http://www.ebi.ac.uk/efo/EFO_0005280	EFO:0005280	FALSE	TRUE	FALSE	FALSE	FALSE
D000075322	Heavy Metal Poisoning	heavy metal poisoning	http://www.ebi.ac.uk/efo/EFO_1001518	EFO:1001518	TRUE	FALSE	FALSE	FALSE	FALSE
